title,type,country,dataProvider,provider,year,rights,language,dcCreator,guid,europeanaCompleteness,timestamp_created
"van Gogh, Selbstpoträt",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_2AQ7JTYGKENYVTCGOD5GWJCJZCMH6IFE?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Quittenstillleben",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_FIIPN63ZUXPO52NPCSMB4E2I74AOKOC4?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Selbstpoträt",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_HQHAMLTIMAQORYGUR7AXLG6DHRDHXT2E?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, La Mousmé",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_I5SCNXAPICGZ7VREWVPVAF57VU47BXYP?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Häuser in Auvers",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_IPDMLTBCSD5ZLCBGZ3IERXQTIO4MF7KG?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Der Garten von Daubigny",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_JWGNFQWRJKXJOY7LQNM6XAWMW4GDSMLH?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Poträt von Dr. Gachet (Serie)",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_LXU5GBNW2GNASAEFERGTPPZH42XTOJ5V?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Blick auf Arles",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_RXHHPOB3HULFQXMI56QJQHGZQ6CCSNV5?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Potrait de Joseph Roulin",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_TJXSTOPEDIAKTEFL6R6UALR6RZOSG6FA?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Potrait de Joseph Roulin",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_YSLBXGSJS6N4GYL2QGIIVORB5K4W4V37?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"Katu, Auvers-sur-Oise",IMAGE,Finland,Finnish National Gallery,National Library of Finland,,http://creativecommons.org/publicdomain/zero/1.0/,mul,"Gogh, Vincent van",https://www.europeana.eu/item/2021012/_D58C091103F4D9D5DF15A9BC9A202DCE?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2023-11-08T09:11:03.624Z
Landscape with house and trees,IMAGE,Austria,The Albertina Museum,Kulturpool,,http://creativecommons.org/publicdomain/mark/1.0/,de,Vincent Van Gogh (Künstler_in),https://www.europeana.eu/item/15508/26871?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-08-01T12:24:05.661Z
Vincent van Gogh. Olijfgaard,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,1889,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990752030101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
Vincent van Gogh. Treurende oude man,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,1890,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990752060101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
